MemberID,Email,Model_Y,True_Y,Prob_churn
15634602,15634602@gmail.com,0,1,0.16979224295919657
15647311,15647311@gmail.com,0,0,0.28539172524162376
15619304,15619304@gmail.com,0,1,0.41514923013503524
15701354,15701354@gmail.com,0,0,0.3219807570306945
15737888,15737888@gmail.com,0,0,0.25525636506514854
15574012,15574012@gmail.com,0,1,0.33590004615512237
15592531,15592531@gmail.com,0,0,0.07512988556019852
15656148,15656148@gmail.com,0,1,0.33033226979200714
15792365,15792365@gmail.com,0,0,0.14458691421881145
15592389,15592389@gmail.com,0,0,0.055903817521104016
15767821,15767821@gmail.com,0,0,0.10979747519965516
15737173,15737173@gmail.com,0,0,0.05051550385354446
15632264,15632264@gmail.com,0,0,0.12992898719956225
15691483,15691483@gmail.com,0,0,0.16147463757505423
15600882,15600882@gmail.com,0,0,0.08168020707162454
15643966,15643966@gmail.com,0,0,0.2691607492921439
15737452,15737452@gmail.com,0,1,0.4384566983215434
15788218,15788218@gmail.com,0,0,0.02827987308050352
15661507,15661507@gmail.com,0,0,0.3027064616433022
15568982,15568982@gmail.com,0,0,0.02048063051574299
15577657,15577657@gmail.com,0,0,0.0867442242998037
15597945,15597945@gmail.com,0,0,0.18548424593548613
15699309,15699309@gmail.com,0,1,0.4277223567116318
15725737,15725737@gmail.com,0,0,0.09014001166545389
15625047,15625047@gmail.com,0,0,0.14860370822216384
15738191,15738191@gmail.com,0,0,0.0406046163190995
15736816,15736816@gmail.com,0,0,0.2519364657867472
15700772,15700772@gmail.com,0,0,0.19181777874458011
15728693,15728693@gmail.com,0,0,0.3856170761183518
15656300,15656300@gmail.com,0,0,0.0488082138724001
15589475,15589475@gmail.com,0,1,0.422124013516221
15706552,15706552@gmail.com,0,0,0.12510744727364395
15750181,15750181@gmail.com,0,0,0.40956574874913204
15659428,15659428@gmail.com,0,0,0.20765494749583258
15732963,15732963@gmail.com,0,0,0.07296073792025605
15794171,15794171@gmail.com,0,1,0.43399312253838
15788448,15788448@gmail.com,0,0,0.08991421013635686
15729599,15729599@gmail.com,0,0,0.05544317567476319
15717426,15717426@gmail.com,0,0,0.07490265204759802
15585768,15585768@gmail.com,0,0,0.23092928646634997
15619360,15619360@gmail.com,0,0,0.30146795299297285
15738148,15738148@gmail.com,0,1,0.4252687146448495
15687946,15687946@gmail.com,0,0,0.4372391930324455
15755196,15755196@gmail.com,0,1,0.40358096690492734
15684171,15684171@gmail.com,1,0,0.539842171330309
15754849,15754849@gmail.com,0,0,0.13819650112009255
15602280,15602280@gmail.com,0,1,0.13787759182919604
15771573,15771573@gmail.com,0,1,0.3393913370783483
15766205,15766205@gmail.com,0,0,0.253104992285736
15771873,15771873@gmail.com,1,0,0.5465963446133415
15616550,15616550@gmail.com,0,0,0.40413561146564003
15768193,15768193@gmail.com,0,0,0.4633370387311802
15683553,15683553@gmail.com,0,0,0.12914200551837404
15702298,15702298@gmail.com,0,1,0.44592230563395535
15569590,15569590@gmail.com,0,1,0.4475035445863456
15760861,15760861@gmail.com,0,0,0.1404502603478608
15630053,15630053@gmail.com,0,0,0.2691999924130935
15647091,15647091@gmail.com,0,0,0.08911689334804145
15623944,15623944@gmail.com,1,1,0.6632440386024269
15804771,15804771@gmail.com,0,0,0.10355277695002531
15651280,15651280@gmail.com,0,0,0.227810026382347
15773469,15773469@gmail.com,0,0,0.32647863783402137
15702014,15702014@gmail.com,0,0,0.16964305697655901
15751208,15751208@gmail.com,0,0,0.13678598501677203
15592461,15592461@gmail.com,0,0,0.10176460920812365
15789484,15789484@gmail.com,0,0,0.32054366664726636
15696061,15696061@gmail.com,0,0,0.3451037507570712
15641582,15641582@gmail.com,0,0,0.2158366845040432
15638424,15638424@gmail.com,0,0,0.186401652501392
15755648,15755648@gmail.com,0,0,0.05912104136840493
15703793,15703793@gmail.com,0,1,0.4057140976050014
